id,unlimited,roaster,wifi,locations,recency,origination,food,tx,per_cap,q1,q2_1,q2_2,q2_3,q2_4,q2_5,q3,q4
009ZAZ0A,0,1,1,4,7,90,1,41,7.905121951219512,1,3,4,3,3,4,0,10
0Z0AAAZA,0,1,1,3,6,138,1,70,7.320714285714287,1,2,5,3,2,4,0,8
Z9ZAAA90,0,0,0,5,10,161,1,28,8.401785714285714,1,3,4,3,1,5,0,7
A0A00A0A,1,0,1,8,7,161,0,125,3.89176,1,4,5,3,2,3,0,8
9990Z0AZ,0,0,1,5,7,350,1,188,6.311489361702128,1,3,2,3,4,4,0,9
ZZA00009,0,0,1,2,7,248,0,127,3.161181102362205,1,2,4,4,4,5,1,8
0Z0099Z9,1,0,1,2,7,104,0,42,5.87452380952381,1,4,4,3,3,3,0,6
0A0Z09ZZ,1,0,1,6,7,341,1,223,8.61591928251121,1,3,3,2,2,3,0,10
ZA0AAA90,0,0,1,10,7,283,1,59,7.413559322033898,1,3,5,3,3,4,0,10
0AZZ99AA,0,1,1,4,7,211,1,110,5.977909090909091,1,3,3,4,5,2,1,8
ZZAA0990,0,1,1,4,9,180,0,5,3.904,1,2,2,4,3,4,0,9
ZA9Z9Z00,0,0,1,4,7,157,0,69,2.8679710144927535,1,2,4,4,3,4,0,9
AA0AZA99,0,1,1,9,6,194,0,72,6.985138888888889,1,3,5,4,2,2,1,7
99A9AAAZ,0,1,1,4,6,311,1,253,6.459644268774704,1,2,3,4,3,5,0,9
0AA09ZAA,1,0,1,5,10,260,0,62,3.5674193548387096,1,1,2,5,2,3,0,9
90AZ0Z90,1,0,1,4,9,264,1,158,8.125632911392405,1,4,3,4,3,2,0,8
0Z09AA9A,0,1,0,1,6,242,1,208,11.17139423076923,1,4,3,2,3,4,1,7
ZAZA0009,0,0,1,8,9,91,0,4,4.57,1,2,4,4,3,5,1,2
ZA0009ZZ,0,0,0,4,8,314,1,265,5.632679245283019,1,4,2,4,4,4,0,7
9AZ009Z9,0,0,1,3,6,349,1,107,6.241495327102804,1,3,3,5,2,4,1,10
A9A9A9ZZ,0,0,1,4,5,134,1,54,8.012222222222222,1,3,5,3,2,3,0,8
AZA90A00,0,1,1,4,5,364,0,185,7.377945945945946,1,3,2,3,1,4,0,8
0ZA00ZZA,0,0,1,6,4,95,0,19,1.916842105263158,1,4,3,5,5,4,0,8
Z00009ZZ,0,0,1,7,7,128,1,68,5.973676470588235,1,2,4,4,1,2,0,7
9Z00A9A9,0,1,1,5,7,208,1,161,6.649503105590061,1,1,5,3,3,5,0,9
0000Z9AA,1,1,1,3,8,364,1,282,12.768085106382978,1,1,3,3,3,4,1,7
ZZ9Z0AZZ,0,1,1,8,8,224,1,107,11.132149532710281,1,3,4,3,4,4,0,8
909909Z0,0,1,1,4,8,109,1,54,8.160370370370371,1,3,4,3,3,5,0,10
0Z9ZAZZ9,0,0,1,4,7,183,0,137,2.1124087591240874,1,3,4,5,2,4,0,8
AA0ZZ9A0,1,0,1,5,6,221,0,219,4.946392694063927,1,2,3,2,3,3,1,8
090AAAA0,0,0,0,5,9,335,0,19,3.8073684210526317,1,4,3,4,3,4,0,7
Z09AZZA9,0,0,1,1,5,166,0,97,3.621340206185567,1,4,2,4,2,4,0,6
99900Z99,0,0,1,3,5,242,0,65,2.7384615384615385,1,4,4,3,3,3,1,8
9A9AAAAA,0,0,1,1,8,348,0,250,2.7261599999999997,1,3,5,4,2,3,0,10
9A0ZA90Z,0,1,1,13,8,274,1,228,8.58890350877193,1,3,2,5,2,3,0,7
Z9Z0ZZZZ,0,0,1,7,6,306,1,276,8.82304347826087,1,3,3,3,3,3,1,8
0A09Z90Z,0,1,1,3,6,108,1,38,6.988157894736842,1,3,4,4,3,5,1,7
9000ZZ00,1,1,1,5,5,355,1,77,10.539480519480518,1,3,2,3,3,3,1,8
Z00A09ZA,0,0,1,3,7,322,1,149,5.92261744966443,1,1,4,5,3,3,1,8
00ZZ9AZZ,0,0,0,5,6,269,0,158,4.951012658227848,1,1,3,3,3,3,1,9
0909AA09,1,0,1,8,7,75,0,4,4.27,1,1,2,4,1,2,0,7
AZZ99ZA9,1,0,1,7,7,332,0,157,5.971847133757962,1,4,5,3,2,3,1,10
0AZ0ZZ0Z,0,0,1,3,8,100,1,50,5.9644,1,1,5,4,3,4,0,7
AA90Z9A9,0,1,1,5,7,356,1,67,10.46,1,2,3,4,1,5,1,9
ZZZAZZ99,0,0,0,2,7,213,0,121,4.523884297520661,1,4,1,3,2,3,0,5
A090999Z,0,0,1,5,6,349,0,130,2.108307692307692,1,3,2,5,2,3,0,6
ZZ0A9090,0,0,1,5,8,198,1,145,4.5777931034482755,1,2,3,3,5,3,1,10
0Z0A9009,0,0,1,9,8,91,0,88,3.7135227272727276,1,2,5,2,2,3,0,8
Z0ZA000Z,0,0,0,3,5,71,1,23,8.060869565217391,1,1,4,4,2,3,0,9
ZZ9Z99Z0,0,0,1,1,8,299,0,111,-0.4688288288288288,1,4,4,3,3,5,0,8
Z09Z0AZ0,0,0,1,4,7,348,0,81,2.554938271604938,1,4,3,4,2,5,0,4
ZAZZ09ZZ,0,1,1,9,7,306,0,232,4.860517241379311,0,4,2,3,3,3,0,7
0A90ZAA0,0,0,1,3,9,191,1,124,7.021048387096775,1,2,2,2,2,4,0,8
Z0990Z00,0,0,1,2,8,310,1,29,3.671724137931035,1,2,4,3,3,3,1,7
9AA99AA9,1,1,1,4,5,282,0,232,7.484224137931034,1,3,3,2,3,3,0,6
09ZAZZ90,1,0,1,6,8,364,1,46,7.522826086956522,1,4,3,3,3,4,0,9
0999ZZA0,1,0,0,9,6,292,0,158,6.38993670886076,1,2,4,4,3,4,0,7
0Z99090A,0,1,1,2,8,70,0,17,5.990588235294118,1,4,2,2,4,3,1,7
A9ZZZZ00,0,0,0,5,6,221,1,74,6.1778378378378385,1,2,2,2,1,3,0,6
A90009A9,0,0,1,5,6,177,0,53,4.198679245283019,1,3,4,2,2,3,0,4
AA0AAA9A,0,0,1,6,5,72,0,5,2.42,1,3,4,2,1,4,0,7
ZZZAZZZ9,0,1,0,4,6,66,0,51,2.8633333333333333,1,3,4,2,2,4,0,8
AAZZZ0AZ,0,0,0,3,5,301,1,57,8.759649122807017,1,4,4,4,1,5,1,9
0ZZ99Z09,0,0,0,6,7,253,1,138,9.671304347826087,1,2,3,4,3,3,0,8
