cust_id,revenue,days_elapsed,transactions,last_visit,email_offer,redeemed
2BUITAME,33.6,41,5,2022-04-19,1,0
5VGEGIL4,122.9,21,12,2022-05-09,1,0
OLL4YGB1,64.1,41,9,2022-04-19,0,0
N5A016BF,79.3,16,7,2022-05-14,0,0
ZOE8S5I4,180.4,35,18,2022-04-25,0,0
SNM603MN,156.1,41,18,2022-04-19,0,0
234QNBMB,21.6,9,3,2022-05-21,0,0
O0WV3H5F,94.3,36,10,2022-04-24,0,0
8IYXYT75,92.1,8,11,2022-05-22,0,0
HHL3W8HV,106.8,20,13,2022-05-10,0,0
W9WRZVCE,150.5,33,14,2022-04-27,1,0
0U3LTJDC,102.3,37,10,2022-04-23,0,0
IJD3NRT2,109.8,10,11,2022-05-20,0,0
DQN6Z3DC,94,32,10,2022-04-28,0,0
HHPPL6PS,108.9,40,11,2022-04-20,0,0
VS9UR1MC,186,52,15,2022-04-08,0,0
WAXT367F,61.3,57,5,2022-04-03,0,0
BVTLVLT4,96.8,54,9,2022-04-06,0,0
E7L78J29,80.5,37,12,2022-04-23,0,0
SKIB8FFD,132.8,52,15,2022-04-08,0,0
KM9YUYJ5,126.7,28,14,2022-05-02,0,0
3JMS47UT,155.8,53,14,2022-04-07,0,0
CE06K6JS,84,38,8,2022-04-22,0,0
7IQN03KG,180.2,23,18,2022-05-07,0,0
3S08DJNH,24.3,27,6,2022-05-03,0,0
TYRBK51C,63.5,1,10,2022-05-29,0,0
XQZRNRRP,86.5,1,11,2022-05-29,0,0
GWWFYH7U,102.4,51,13,2022-04-09,0,0
2HJN1ZVE,89.3,34,9,2022-04-26,0,0
SR6A9IVY,90.4,52,11,2022-04-08,0,0
MPU3KX1L,64.4,35,7,2022-04-25,1,0
MZMZT1PC,77.5,27,11,2022-05-03,0,0
SJETBGPG,57.8,23,8,2022-05-07,0,0
A9TW4RKF,76.3,45,10,2022-04-15,1,0
R7LWQXX5,74.8,27,9,2022-05-03,1,1
9Q2UV6OB,111.6,50,10,2022-04-10,1,0
1EJY9Y0E,79,31,8,2022-04-29,0,0
0Q7TVA62,124.4,51,12,2022-04-09,1,0
JQ94S9BB,72.9,11,8,2022-05-19,0,0
M4A1H81L,86.2,25,9,2022-05-05,0,0
